tournament_id,tournament_en
234996,WESG 2017. Open Qualifier Sweden
229225,SL i-League Invitational Season 3
234021,World Cyber Arena 2017. Главная Qualifier. China
233154,The Manila Invitational
227704,ROG MASTERS 2017. European Qualifier
230299,World Cyber Arena 2017. Главная Qualifier. Europe
233801,DreamLeague Season 8. Open Qualifiers America
232618,DreamLeague Season 8. Chinese Qualifiers
233700,WESG 2017. Open Russian Qualifiers #2
233295,WESG 2017. Open Russian Qualifiers #1
229359,ProDotA Cup Europe #22
232070,Dota PIT League Season 6. Closed Qualifiers South America
229360,ProDotA Cup Southeast Asia #10
231763,The Perfect World Masters. Closed Qualifier Europe
232670,Almeo Esports Cup
232067,Dota PIT League Season 6. Closed Qualifiers China
231947,Dota PIT League Season 6. Closed Qualifiers North America
231272,Dota 2 Champions League Season 13
231766,The Perfect World Masters. Closed Qualifier Cis
231942,Dota PIT League Season 6. Closed Qualifiers Europe
231840,The Perfect World Masters. Closed Qualifier South-East Asia
231765,The Perfect World Masters. Closed Qualifier China
232539,DreamLeague Season 8. Qualifiers South America
230300,World Cyber Arena 2017. Closed Qualifiers Europe
231767,The Perfect World Masters. Closed Qualifier North America
231837,The Perfect World Masters. Closed Qualifier South America
232044,Dota PIT League Season 6. Closed Qualifiers Cis
230301,World Cyber Arena 2017. Closed Qualifiers Cis
232055,Dota PIT League Season 6. Closed Qualifiers Sea
230167,SL i-League Invitational Season 3. European Closed Qualifiers
230174,PGL Open Bucharest 2017. Closed Qualifiers. Europe
229943,SL i-League Invitational Season 3. Closed Qualifiers North America
232045,Dota PIT League Season 6. Open Qualifiers North America
231952,Dota PIT League Season 6. Open Qualifiers Europe
231925,The Perfect World Masters. Open Qualifiers Cis
231033,ESL One Hamburg 2017. Closed Qualifiers South America
231019,ESL One Hamburg 2017. Closed Qualifiers North America
231046,ESL One Hamburg 2017. Closed Qualifiers Europe
231054,ESL One Hamburg 2017. Closed Qualifiers Cis
231939,The Perfect World Masters. Open Qualifiers Sea
230764,SL i-League Invitational Season 3. Closed Qualifiers China
231860,The Perfect World Masters. Open Qualifiers China #2
231052,ESL One Hamburg 2017. Closed Qualifiers Sea
231708,The Perfect World Masters. American Open Qualifier #1
230177,PGL Open Bucharest 2017. Closed Qualifiers. North America
231544,The Perfect World Masters. European Open Qualifier
231120,DreamLeague Season 8. Open Qualifiers Cis
231566,The Perfect World Masters. Chinese Open Qualifier #1
231271,DreamLeague Season 8. Open Qualifiers South America
231128,DreamLeague Season 8. Open Qualifiers Europe
230176,PGL Open Bucharest 2017. Closed Qualifiers. Cis
228983,King’s Cup. America
231170,DreamLeague Season 8. Open Qualifiers Sea
230867,ESL One Hamburg 2017. Closed Qualifiers China
229199,SL i-League Invitational Season 3. Closed Qualifiers South America
230804,ESL One Hamburg 2017. Open Qualifiers South America
229176,SL i-League Invitational Season 3. Closed Qualifiers Cis
230749,ESL One Hamburg 2017. Open Qualifiers North America
230695,ESL One Hamburg 2017. Open Qualifiers Europe
230714,ESL One Hamburg 2017. Open Qualifiers Cis
230687,ESL One Hamburg 2017. Open Qualifiers Sea
229213,SL i-League Invitational Season 3. Closed Qualifiers South-East Asia
230407,PGL Open Bucharest 2017. Closed Qualifiers. China
230723,ESL One Hamburg 2017. Open Qualifiers China
230166,PGL Open Bucharest. Open Qualifiers Europe
229987,PGL Open Bucharest 2017. Closed Qualifiers. South America
229918,PGL Open Bucharest. Asian Qualifiers
229548,PGL Open Bucharest. Open Qualifiers Cis
229544,SL i-League Invitational Season 3. Open Qualifiers Europe
229743,SL i-League Invitational Season 3. Open Qualifiers China
229679,SL i-League Invitational Season 3. Open Qualifiers North America
98702,ESL One New York
96920,i-league
76432,SLTV StarSeries China IX
219429,The International 2017. Cis. Open Qualifier #1
43538,RaidCall EMS One Fall Season
169372,TI6. China. Open Qualifiers
169373,TI6. America. Open Qualifiers
205036,The Kiev Major 2017. Qualifier Champions
169374,TI6. Asia. Open Qualifiers
165122,ESL One Frankfurt 2016
162005,Open Qualifiers The Manila Major 2016: Asia
145550,SL i-League 2015 Dota 2
